mill,product,count
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 8ft,11
"Canfor Southern Pine (Deridder, LA)",2x8 | #2 | 8ft,1
"Canfor Southern Pine (El Dorado, AR)",2x10 | #1 | 18ft,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #2 | 10ft,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #2 | 14ft,1
"Canfor Southern Pine (El Dorado, AR)",2x6 | #1 | 10ft,1
"Canfor Southern Pine (Estill, SC)",2x6 | #2 | 8ft,5
"Canfor Southern Pine (Estill, SC)",2x8 | #2 | 12ft,2
"Canfor Southern Pine (Estill, SC)",2x8 | #2 | 8ft,1
"Canfor Southern Pine (Graham, NC)",2x6 | #2 | 8ft,1
"Canfor Southern Pine (Moultrie, GA)",2x8 | #2 | 8ft,2
"Canfor Southern Pine (Strong, AR)",2x12 | #2 | 20ft,5
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 12ft,2
"Canfor Southern Pine (Strong, AR)",2x10 | #1 | 14ft,1
"Canfor Southern Pine (Strong, AR)",2x10 | #1 | 18ft,1
"Canfor Southern Pine (Strong, AR)",2x10 | #2 | 14ft,1
"Canfor Southern Pine (Strong, AR)",2x10 | #2 | 8ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 10ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #2 | 8ft,1
"Charles Ingram (Effingham, SC)",4x6 | #1 | 16ft,2
"Charles Ingram (Effingham, SC)",4x6 | #2 | 12ft,2
"Charles Ingram (Effingham, SC)",4x6 | #2 | 8ft,2
"Charles Ingram (Effingham, SC)",1x4 | #2 | 10ft,1
"Charles Ingram (Effingham, SC)",1x4 | #2 | 12ft,1
"Charles Ingram (Effingham, SC)",1x4 | #2 | 14ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #2 | 10ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #2 | 10ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #2 | 12ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #2 | 8ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #2 | 14ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #2 | 8ft,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 10ft,3
"Doman Lumber (Caddo Mills, TX)",1x4 | #2 | 8ft,2
"Doman Lumber (Caddo Mills, TX)",2x12 | #2 | 10ft,2
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 12ft,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 16ft,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #1 | 8ft,1
"Doman Lumber (Caddo Mills, TX)",2x4 | #2 | 12ft,1
"Doman Lumber (Caddo Mills, TX)",2x8 | #2 | 12ft,1
"Doman Lumber (Gilmer, TX)",4x4 | #2 | 10ft,2
"Doman Lumber (Hattiesburg, MS)",6x6 | #2 | 10ft,1
"Doman Lumber (Hattiesburg, MS)",6x6 | #2 | 8ft,1
"Doman Lumber (Magnolia, AR)",1x6 | #2 | 14ft,1
"Doman Lumber (Rison, AR)",1x6 | #2 | 12ft,1
"Doman Lumber (Rison, AR)",1x6 | #2 | 14ft,1
"Doman Lumber (Russellville, AR)",1x6 | #2 | 14ft,5
"Dupont Pine Products, LLC (Alapaha, GA)",4x6 | #2 | 16ft,18
"Dupont Pine Products, LLC (Alapaha, GA)",4x6 | #1 | 8ft,15
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 10ft,5
"Eastex Forest Products (Houston, TX)",1x4 | #2 | 12ft,1
"Eastex Forest Products (Houston, TX)",2x4 | #2 | 12ft,1
"Eastex Forest Products (Houston, TX)",2x6 | #2 | 16ft,1
"Eastex Forest Products (Houston, TX)",2x8 | #2 | 10ft,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 12ft,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 16ft,1
"Eastex Forest Products (Houston, TX)",4x4 | #2 | 8ft,1
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 8ft,10
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 10ft,5
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 12ft,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 14ft,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 16ft,4
"Georgia-Pacfic Corp (Talladega, AL)",2x6 | #2 | 20ft,4
"Georgia-Pacfic Corp (Talladega, AL)",2x4 | #2 | 8ft,1
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 14ft,6
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 20ft,4
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 12ft,3
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #2 | 14ft,3
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #2 | 20ft,3
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 10ft,2
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 16ft,2
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #1 | 18ft,2
"Georgia-Pacific Corp. (Diboll, TX)",2x4 | #2 | 18ft,2
"Georgia-Pacific Corp. (Diboll, TX)",2x6 | #1 | 16ft,2
"Georgia-Pacific Corp. (Diboll, TX)",2x6 | #2 | 12ft,1
"Georgia-Pacific Corp. (Diboll, TX)",2x6 | #2 | 16ft,1
"Georgia-Pacific Corp. (Diboll, TX)",2x8 | #2 | 12ft,1
"Georgia-Pacific Corp. (Diboll, TX)",2x8 | #2 | 8ft,1
"Georgia-Pacific Corp. (Dudley, NC)",2x6 | #2 | 8ft,2
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 16ft,11
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 14ft,9
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 18ft,5
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 10ft,4
"Georgia-Pacific Corp. (Gurdon, AR)",2x6 | #2 | 14ft,4
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #2 | 10ft,3
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #2 | 16ft,3
"Georgia-Pacific Corp. (Gurdon, AR)",2x8 | #2 | 8ft,3
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 12ft,2
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 8ft,2
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #2 | 12ft,2
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #1 | 20ft,1
